Ref,Val,Package,PosX,PosY,Rot,Side
"R3022","100R","R_2512_6332Metric",90.983600,-96.505600,180.000000,bottom
"R3023","100R","R_2512_6332Metric",90.983600,-100.569600,180.000000,bottom
"R3024","100R","R_2512_6332Metric",90.983600,-92.441600,180.000000,bottom
"R3025","100R","R_2512_6332Metric",90.983600,-84.313600,180.000000,bottom
"R3026","330R","R_0805_2012Metric",88.951600,-123.937600,0.000000,bottom
"R3027","330R","R_0805_2012Metric",104.495600,-73.507600,180.000000,bottom
"R3028","10K","R_0805_2012Metric",93.777600,-80.503600,90.000000,bottom
"R3029","1K","R_0805_2012Metric",96.317600,-80.503600,270.000000,bottom
"R3030","100R","R_2512_6332Metric",99.111600,-120.889600,180.000000,bottom
"R3031","100R","R_2512_6332Metric",99.111600,-116.825600,180.000000,bottom
"R3032","100R","R_2512_6332Metric",99.111600,-112.761600,180.000000,bottom
"R3033","100R","R_2512_6332Metric",99.111600,-104.633600,180.000000,bottom
"R3034","100R","R_2512_6332Metric",99.111600,-108.697600,180.000000,bottom
"R3035","100R","R_2512_6332Metric",99.111600,-88.349600,180.000000,bottom
"R3036","100R","R_2512_6332Metric",99.111600,-96.505600,180.000000,bottom
"R3037","100R","R_2512_6332Metric",99.111600,-92.441600,180.000000,bottom
"R3038","100R","R_2512_6332Metric",99.111600,-84.313600,180.000000,bottom
"R3039","100R","R_2512_6332Metric",99.111600,-100.569600,180.000000,bottom
"R3040","330R","R_0805_2012Metric",97.079600,-123.937600,0.000000,bottom
"R3041","330R","R_0805_2012Metric",104.495600,-71.475600,180.000000,bottom
"R3042","10K","R_0805_2012Metric",101.905600,-80.503600,90.000000,bottom
"R3043","1K","R_0805_2012Metric",104.445600,-80.503600,270.000000,bottom
"R3044","100R","R_2512_6332Metric",107.239600,-112.761600,180.000000,bottom
"R3045","100R","R_2512_6332Metric",107.239600,-120.889600,180.000000,bottom
"R3046","100R","R_2512_6332Metric",107.239600,-116.825600,180.000000,bottom
"R3047","100R","R_2512_6332Metric",107.239600,-108.697600,180.000000,bottom
"R3048","100R","R_2512_6332Metric",107.239600,-104.633600,180.000000,bottom
"R3049","100R","R_2512_6332Metric",107.239600,-92.441600,180.000000,bottom
"R3050","100R","R_2512_6332Metric",107.239600,-100.569600,180.000000,bottom
"R3051","100R","R_2512_6332Metric",107.239600,-96.477600,180.000000,bottom
"R3052","100R","R_2512_6332Metric",107.239600,-88.377600,180.000000,bottom
"R3053","100R","R_2512_6332Metric",107.239600,-84.313600,180.000000,bottom
